Latitude,Longitude,Titulo
-8.7299081,-48.7628457,Distribuidora Ponto Certo
-10.1866018,-48.3055296,Alvo Distribuidora Tocantins
-17.576631,-52.5568772,PJ Distribuidora
-17.5886608,-52.5594105,Houber Beer distribuidora
-10.3159222,-48.2999505,Distribuidora Paulista
-17.5655988,-52.561411,Bahrein Distribuidora
-10.181468,-48.8920736,Distribuidora Três M
-10.1600575,-48.8912085,Distribuidora Vale do Araguaia
-9.3389609,-50.3332317,Starbucks rogerim Distribuidora
-10.2373115,-48.3154835,Uni Bom Distribuidora de Alimentos
-10.1964466,-48.3499103,Montreal Distribuidora de alimentos
-8.7422188,-49.3705711,Distribuidora
-8.7731082,-48.9341333,Distribuidora e Sorveteria Ponto Frio
-9.2723414,-49.9538536,Distribuidora de Bebidas imperial
-9.7988177,-49.2160667,Distribuidora : Altas Horas
-9.9716593,-49.0400665,Distribuidora são José
-9.3402188,-50.3281017,Distribuidora Juvenil
-9.340291,-50.3341734,Starbucks rogerim Distribuidora 24 horas
-9.3337479,-50.3551843,DISTRIBUIDORA DE BEBIDAS GELO NORTE
-9.3313362,-50.3394325,PitStop Distribuidora e Conveniência
-9.2533009,-49.0683845,Distribuidora do Arruda & Espetinho do Ronaldo
-9.3330848,-50.3580641,Supermercado E Distribuidora Esquinao Do Neto
-17.5584726,-52.5556918,Chama Distribuidora De Bebidas
-17.560003,-52.545756,Distribuidora Exito
-17.5662757,-52.546881,Citrus Distribuidora Frutas Verduras
-17.5406066,-52.5476136,Distribuidora de Bebidas WM
-17.5663693,-52.5481955,DISTRIBUIDORA JUNIOR
-17.5373985,-52.5391968,Distribuidora Capitão bebidas
-16.9663528,-51.8119097,BAR E DISTRIBUIDORA DO APARECIDO
-17.5457588,-52.5431995,Goiás distribuidora de alimentos
-16.7204566,-52.3157104,Edimar Distribuidora
-16.7636953,-52.8348206,EMPÓRIO M.A. Distribuidora de Bebidas
-9.2727663,-49.9574849,ADEGA C&A distribuidora de bebidas
-9.628101,-49.1537276,Distribuidora prime
-9.802393,-49.2148752,EMPÓRIO SILVA distribuidora de bebidas
-9.6238147,-49.1538994,Mercearia e Distribuidora de Bebidas JR
-9.3366109,-50.3348742,Tony Distribuidora
-9.3157673,-50.3244049,Peg e Pag e Distribuidora Souza e Bar d Jiló
-9.3364754,-50.3361506,Tô No Trabalho Distribuidora
-9.4703492,-49.9002539,Distribuidora Martins
-9.7971114,-49.657457,Jv Minimercado Distribuidora
-17.5470193,-52.5438886,Distribuidora de Bebidas Alaska
-17.5427592,-52.5439259,Comercial e Distribuidora Resenha
-12.7365314,-60.153232,Distribuidora Palma
-12.7154596,-60.1438039,Distribuidora Cone-sul e Restaurante
-12.7248604,-60.1250286,Distribuidora de Bebidas Ariedo (Marajá)
-12.7329708,-60.0927654,Distribuidora De Bebidas Barrelas 2
-12.5462673,-60.9064088,JDC DISTRIBUIDORA
-12.7290367,-60.1268236,Pimentel Beer Distribuidora
-12.7234522,-60.1421415,Distribuidora De Bebidas Ponto Certo
